scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Middle_DRC_NoConflict,Middle_DRC_NoConflict,52,0.515152,99.424,,0.685015,2.179698,0.382411,0.003597,0.000000,0.784205,0.685055
Middle_DRC_NoConflict,Middle_DRC_NoConflict,53,0.525253,101.374,,0.690557,2.143826,0.374138,0.003444,0.000000,0.789710,0.693370
Middle_DRC_NoConflict,Middle_DRC_NoConflict,54,0.535354,103.323,,0.695925,2.109618,0.366272,0.003296,0.000000,0.794965,0.701398
Middle_DRC_NoConflict,Middle_DRC_NoConflict,55,0.545455,105.273,,0.701124,2.077004,0.358804,0.003153,0.000000,0.799979,0.709143
Middle_DRC_NoConflict,Middle_DRC_NoConflict,56,0.555556,107.222,,0.706158,2.045915,0.351717,0.003017,0.000000,0.804761,0.716612
Middle_DRC_NoConflict,Middle_DRC_NoConflict,57,0.565657,109.172,,0.711032,2.016284,0.344997,0.002886,0.000000,0.809320,0.723809
Middle_DRC_NoConflict,Middle_DRC_NoConflict,58,0.575758,111.121,,0.715751,1.988046,0.338628,0.002762,0.000000,0.813666,0.730743
Middle_DRC_NoConflict,Middle_DRC_NoConflict,59,0.585859,113.071,,0.720319,1.961140,0.332595,0.002643,0.000000,0.817807,0.737419
Middle_DRC_NoConflict,Middle_DRC_NoConflict,60,0.595960,115.020,,0.724741,1.935505,0.326885,0.002531,0.000000,0.821754,0.743846
Middle_DRC_NoConflict,Middle_DRC_NoConflict,61,0.606061,116.970,,0.729025,1.911084,0.321482,0.002424,0.000000,0.825515,0.750030
Middle_DRC_NoConflict,Middle_DRC_NoConflict,62,0.616162,118.919,,0.733179,1.887824,0.316372,0.002323,0.000000,0.829097,0.755978
Middle_DRC_NoConflict,Middle_DRC_NoConflict,63,0.626263,120.869,,0.737210,1.865670,0.311542,0.002228,0.000000,0.832511,0.761694
Middle_DRC_NoConflict,Middle_DRC_NoConflict,64,0.636364,122.818,,0.741121,1.844575,0.306977,0.002139,0.000000,0.835763,0.767185
Middle_DRC_NoConflict,Middle_DRC_NoConflict,65,0.646465,124.768,,0.744914,1.824490,0.302665,0.002054,0.000000,0.838861,0.772456
Middle_DRC_NoConflict,Middle_DRC_NoConflict,66,0.656566,126.717,,0.748587,1.805369,0.298592,0.001975,0.000000,0.841812,0.777514
